# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
2.18969288661e+15, 1.51806194579e+35, 1.76536181142e+37, 0.00859915477929
2.17541851962e+15, 1.50396266447e+35, 1.75467415083e+37, 0.00857117923438
2.16119959133e+15, 1.489948863e+35, 1.74402088963e+37, 0.00854318243468
2.14703604042e+15, 1.47602026581e+35, 1.73340202782e+37, 0.00851516406533
2.13292780557e+15, 1.46217659733e+35, 1.72281756542e+37, 0.00848712380629
2.11887482546e+15, 1.448417582e+35, 1.7122675024e+37, 0.00845906133222
2.10487703877e+15, 1.43474294424e+35, 1.70175183879e+37, 0.00843097631239
2.09093438419e+15, 1.42115240848e+35, 1.69127057457e+37, 0.00840286841059
2.07704680039e+15, 1.40764569916e+35, 1.68082370975e+37, 0.00837473728502
2.06321422605e+15, 1.39422254069e+35, 1.67041124432e+37, 0.00834658258819
2.04943659985e+15, 1.38088265753e+35, 1.66003317829e+37, 0.00831840396679
2.03571386048e+15, 1.36762577408e+35, 1.64968951165e+37, 0.00829020106162
2.02204594662e+15, 1.35445161479e+35, 1.63938024441e+37, 0.00826197350743
2.00843279694e+15, 1.34135990409e+35, 1.62910537657e+37, 0.00823372093287
1.99487435012e+15, 1.3283503664e+35, 1.61886490812e+37, 0.0082054429603
1.98137054486e+15, 1.31542272616e+35, 1.60865883907e+37, 0.00817713920572
1.96792131982e+15, 1.30257670779e+35, 1.59848716941e+37, 0.00814880927864
1.95452661369e+15, 1.28981203573e+35, 1.58834989915e+37, 0.00812045278195
1.94118636514e+15, 1.2771284344e+35, 1.57824702829e+37, 0.0080920693118
1.92790051287e+15, 1.26452562825e+35, 1.56817855682e+37, 0.00806365845743
1.91466899555e+15, 1.25200334169e+35, 1.55814448475e+37, 0.00803521980113
1.90149175185e+15, 1.23956129915e+35, 1.54814481207e+37, 0.008006752918
1.88836872047e+15, 1.22719922508e+35, 1.53817953879e+37, 0.00797825737588
1.87529984008e+15, 1.21491684389e+35, 1.52824866491e+37, 0.00794973273519
1.86228504936e+15, 1.20271388003e+35, 1.51835219042e+37, 0.00792117854878
1.84932428699e+15, 1.19059005791e+35, 1.50849011533e+37, 0.0078925943618
1.83641749166e+15, 1.17854510197e+35, 1.49866243963e+37, 0.00786397971152
